metric,ref_to_tar,tar_to_ref
mean,0.0004310198344935682,0.00037731240245565515
rms,0.0005761266539907447,0.0004123208851969381
std,0.0003822876190928871,0.00016626443793766696
p50,0.0003592333703177208,0.0003572995627937716
p90,0.000637878871295083,0.0006029486043295433
p95,0.000780858231259893,0.0006823212158087426
p99,0.0026772989462088186,0.0008347623870788726
max,0.00408288234099106,0.0013228093276656482
count,200000,200000
Chamfer_mean,0.0004041661184746117,
Chamfer_rms,0.0005009642870545554,
